Request Method,Request Path,Request Parameters,User-Agent,Referrer,IP Address,Timestamp,Content-Type,Response Code,Label
POST,/api/v1/password/reset,"email=""[email address removed]""",Python-requests/2.28.1,[invalid URL removed],192.168.1.172,2024-04-23 16:55:00,application/json,400,1 (potential request with invalid data for password reset)
GET,/healthz,-,Go-http-client/1.1,[invalid URL removed],192.168.1.173,2024-04-23 17:00:00,text/plain,200,0
PATCH,/products/4,"product_data={""name"":null}",Java/17.0.2,[invalid URL removed],192.168.1.174,2024-04-23 17:05:00,application/json-patch+json,400,1 (potential invalid product update attempt - missing name)
POST,/api/internal/backup,-,Python-httpx/0.22.2,[invalid URL removed],192.168.1.175,2024-04-23 17:10:00,application/json,500,1 (potential internal server backup functionality error)
GET,/robots.txt%00,-,Slurp/ (+[invalid URL removed]),-,192.168.1.176,2024-04-23 17:15:00,text/plain,400,1 (potential null byte injection attempt in robots.txt)
POST,/api/v2/forum/threads,"title=""Interesting topic"" & content=""This is a great discussion forum!""",Firefox/108.0,http://example.com/,192.168.1.177,2024-04-23 17:20:00,application/json,201,0
GET,/terms-of-service.pdf,-,Wget/1.21.1,[invalid URL removed],192.168.1.178,2024-04-23 17:25:00,application/pdf,200,0
PUT,/users/2/avatar,avatar=@[...],Apache-HttpClient/4.5.13,[invalid URL removed],192.168.1.179,2024-04-23 17:30:00,multipart/form-data,413,1 (potential attempt to upload oversized avatar)
DELETE,/api/v1/files/archive,"filename=""old_data.txt""",curl/7.81.0,[invalid URL removed],192.168.1.180,2024-04-23 17:35:00,application/json,204,0
GET,/careers/,-,Edge/108.0.0.0 Safari/537.36,http://example.com/,192.168.1.181,2024-04-23 17:40:00,text/html,200,0
POST,/api/internal/audit,"data= {""event"":""user_login_attempt""}",Python-requests/2.28.1,[invalid URL removed],192.168.1.182,2024-04-23 17:45:00,application/json,200,0
TRACE,/,-,Go-http-client/1.1,http://example.com/,192.168.1.183,2024-04-23 17:50:00,-,405,1 (potential HTTP TRACE method probing attempt)
GET,/en/team/,-,Yandex/22.5.0.2193,http://example.com/about,192.168.1.184,2024-04-23 17:55:00,text/html,200,0
OPTIONS,/api/v2/products,-,Java/17.0.2,[invalid URL removed],192.168.1.185,2024-04-23 18:00:00,-,200,0
POST,/api/v3/events,"type=""purchase"" & item_id=123 & price=10.50",Chrome/103.0.0.0,http://example.com/,192.168.1.186,2024-04-23 18:05:00,application/json,201,0
GET,/robots.txt?q=disallow: /admin,-,Slurp/ (+[invalid URL removed]),-,192.168.1.187,2024-04-23 18:10:00,text/plain,200,0
PUT,/users/me/preferences,"preferences={""language"":""pt-BR""}",Postman/8.9.20,[invalid URL removed],192.168.1.188,2024-04-23 18:15:00,application/json,200,0
DELETE,/api/v2/sessions,-,Python-requests/2.28.1,[invalid URL removed],192.168.1.189,2024-04-23 18:20:00,application/json,204,0
GET,/zh/,-,Yandex/22.5.0.2193,-,192.168.1.190,2024-04-23 18:25:00,text/html,302,0
POST,/api/internal/metrics,"data= {""metric"":""server_uptime"", ""value"":3600}",Go-http-client/1.1,[invalid URL removed],192.168.1.191,2024-04-23 18:30:00,application/json,200,0
GET,/.git/config,-,GitPython/3.4.4,[invalid URL removed],192.168.1.192,2024-04-23 18:35:00,text/plain,403,0
PUT,/products/9,"product_data={""active"":false}",Java/17.0.2,[invalid URL removed],192.168.1.193,2024-04-23 18:40:00,application/json,200,0
POST,/api/v4/search/advanced,"query=""financial documents"" & filters={""date_range"":[""2023-01-01"", ""2023-12-31""]}",Firefox/108.0,http://example.com/,192.168.1.194,2024-04-23 18:45:00,application/json,200,0
DELETE,/cache,-,curl/7.81.0,[invalid URL removed],192.168.1.195,2024-04,,,
GET,/css/styles.min.css,-,Chromium/110.0.0.0,http://example.com/,192.168.1.196,2024-04-23 18:50:00,text/css,200,0
POST,/api/v2/support/tickets,"title=""Need help with..."" & content=""Having trouble with...""","Safari/605.1.15 (KHTML, like Gecko)",[invalid URL removed],192.168.1.197,2024-04-23 18:55:00,application/json,201,0
PUT,/users/3/role,"role=""admin""",Postman/8.9.20,[invalid URL removed],192.168.1.198,2024-04-23 19:00:00,application/json,403,1 (potential unauthorized user role update attempt)
DELETE,/api/v1/tasks/completed,-,Python-requests/2.28.1,[invalid URL removed]),192.168.1.199,2024-04-23 19:05:00,application/json,204,0
POST,/api/internal/restart/service,"service_name=""worker""",Go-http-client/1.1,[invalid URL removed],192.168.1.200,2024-04-23 19:10:00,application/json,202,0
GET,/en/privacy,-,Edge/108.0.0.0 Safari/537.36,http://example.com/about,192.168.1.201,2024-04-23 19:15:00,text/html,200,0
HEAD,/healthz/liveness,-,curl/7.81.0,[invalid URL removed],192.168.1.202,2024-04-23 19:20:00,-,200,0
PATCH,/products/1,"product_data={""description"": ""<p><b>Special Offer!</b></p>""}",Java/17.0.2,[invalid URL removed],192.168.1.203,2024-04-23 19:25:00,application/json-patch+json,200,0
POST,/api/v3/social/login,"provider=""github"" & access_token=""...compromised_token...""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.204,2024-04-23 19:30:00,application/json,401,1 (potential login attempt with compromised token)
GET,/robots.txt%0a,-,Slurp/ (+[invalid URL removed]),-,192.168.1.205,2024-04-23 19:35:00,text/plain,400,1 (potential newline character injection attempt in robots.txt)
PUT,/users/me/password,"current_password=""old_password"" & new_password=""new_password123"" & confirm_password=""new_password1234""",Firefox/108.0,[invalid URL removed],192.168.1.206,2024-04-23 19:40:00,application/json,400,1 (potential password update with password mismatch)
POST,/api/internal/logs,"data= {""error_message"":""User uploaded malicious script""}",Python-requests/2.28.1,[invalid URL removed],192.168.1.207,2024-04-23 19:45:00,application/json,200,1 (potential internal logging of security events - malicious script)
DELETE,/api/v2/files/,"filename=""important_data.csv""",curl/7.81.0,[invalid URL removed],10.0.0.12 (Suspicious IP),2024-04-23 19:50:00,application/json,403,1 (potential unauthorized deletion attempt - sensitive file from suspicious IP)
GET,/de/,-,Yandex/22.5.0.2193,-,192.168.1.208,2024-04-23 19:55:00,text/html,302,0
POST,/api/v4/subscriptions/cancel,subscription_id=1234,Java/17.0.2,[invalid URL removed],192.168.1.209,2024-04-23 20:00:00,application/json,200,0
PUT,/security/two-factor,"enabled=true & method=""sms"" & phone_number=""+1234567890""",Postman/8.9.20,[invalid URL removed],192.168.1.210,2024-04-23 20:05:00,application/json,200,0
GET,/en/blog/category/tech,-,Edge/108.0.0.0 Safari/537.36,[invalid URL removed],192.168.1.211,2024-04-23 20:10:00,text/html,200,0
POST,/api/internal/build/deploy,"project_name=""website"" & environment=""production""",Go-http-client/1.1,[invalid URL removed],19,,,,
POST,/api/v2/payments,"amount=100.00 & currency=""USD"" & payment_method_id=1",Chrome/103.0.0.0,http://example.com/,192.168.1.212,2024-04-23 20:15:00,application/json,201,0
GET,/robots.txt?utm_source=malicious_link,-,Slurp/ (+[invalid URL removed]),-,192.168.1.213,2024-04-23 20:20:00,text/plain,400,1 (potential malicious URL parameter in robots.txt)
PUT,/users/password/recovery,"email=""[email address removed]"" & new_password=""new_password456""",Firefox/108.0,[invalid URL removed],192.168.1.214,2024-04-23 20:25:00,application/json,200,0
POST,/api/internal/security/alerts,"data= {""threat_type"":""SQL injection attempt""}",Python-requests/2.28.1,[invalid URL removed],192.168.1.215,2024-04-23 20:30:00,application/json,200,1 (potential internal logging of security events - SQL injection)
DELETE,/api/v1/shopping-cart,-,curl/7.81.0,[invalid URL removed],192.168.1.216,2024-04-23 20:35:00,application/json,204,0
GET,/fr/,-,Yandex/22.5.0.2193,-,192.168.1.217,2024-04-23 20:40:00,text/html,302,0
POST,/api/v4/search,"query=""confidential documents""",Java/17.0.2,http://example.com/,192.168.1.218,2024-04-23 20:45:00,application/json,403,1 (potential unauthorized search attempt for confidential documents)
PUT,/products/6,"product_data={""price"":-99.99}",Postman/8.9.20,[invalid URL removed],192.168.1.219,2024-04-23 20:50:00,application/json,400,1 (potential invalid product update attempt - negative price)
POST,/api/internal/user/activity,"data= {""action"":""login"", ""user_id"":123}",Go-http-client/1.1,[invalid URL removed],192.168.1.220,2024-04-23 20:55:00,application/json,200,0
DELETE,/tmp/backup.log,-,curl/7.81.0,[invalid URL removed],10.0.0.13 (Suspicious IP),2024-04,,,
POST,/api/v3/content/pages,"title=""New blog post"" & content=""This is a great article!"" & category_id=5",Chrome/103.0.0.0,http://example.com/,192.168.1.221,2024-04-23 21:00:00,application/json,201,0
GET,/favicon.ico?v=123,-,Slurp/ (+[invalid URL removed]),-,192.168.1.222,2024-04-23 21:05:00,image/x-icon,200,0
PUT,/users/me/settings,"settings={""language"":""es""}",Firefox/108.0,[invalid URL removed],192.168.1.223,2024-04-23 21:10:00,application/json,200,0
DELETE,/api/v2/teams/10,-,Python-requests/2.28.1,[invalid URL removed],192.168.1.224,2024-04-23 21:15:00,application/json,404,1 (potential attempt to delete non-existent team)
POST,/api/internal/audit/log,"data= {""event"":""user_registration""}",Go-http-client/1.1,[invalid URL removed],192.168.1.225,2024-04-23 21:20:00,application/json,200,0
GET,/zh-cn/contact/,-,Yandex/22.5.0.2193,http://example.com/about,192.168.1.226,2024-04-23 21:25:00,text/html,200,0
OPTIONS,/api/v4/users,-,Java/17.0.2,http://example.com/,192.168.1.227,2024-04-23 21:30:00,-,200,0
PATCH,/products/3,"product_data={""stock"":5}",Postman/8.9.20,[invalid URL removed],192.168.1.228,2024-04-23 21:35:00,application/json-patch+json,200,0
POST,/api/internal/notifications,"data= {""recipient"":""[email address removed]"", ""message"":""Your order has shipped!""}",Go-http-client/1.1,[invalid URL removed],192.168.1.229,2024-04-23 21:40:00,application/json,202,0
POST,/api/v2/forums/threads/123/replies,"content=""Interesting perspective!""",Chrome/103.0.0.0,[invalid URL removed],192.168.1.230,2024-04-23 21:45:00,application/json,201,0
GET,/robots.txt%0d%0a,-,Slurp/ (+[invalid URL removed]),-,192.168.1.231,2024-04-23 21:50:00,text/plain,400,1 (potential double newline character injection attempt in robots.txt)
PUT,/users/2/name,"name=""New Username""",Firefox/108.0,[invalid URL removed],192.168.1.232,2024-04-23 21:55:00,application/json,200,0
DELETE,/api/v1/billing/subscriptions/2,-,Python-requests/2.28.1,[invalid URL removed],192.168.1.233,2024-04-23 22:00:00,application/json,204,0
POST,/api/internal/server/stats,"data= {""metric"":""cpu_usage"", ""value"":75.8}",Go-http-client/1.1,[invalid URL removed],192.168.1.234,2024-04-23 22:05:00,application/json,200,0
GET,/nl/,-,Yandex/22.5.0.2193,-,192.168.1.235,2024-04-23 22:10:00,text/html,302,0
POST,/api/v4/data/export,"data_type=""user_data"" & format=""csv""",Java/17.0.2,[invalid URL removed],192.168.1.236,2024-04-23 22:15:00,application/json,202,0
PUT,/security/password,"current_password=""correct_password"" & new_password=""new_password"" & confirm_password=""new_password""",Postman/8.9.20,[invalid URL removed],192.168.1.237,2024-04-23 22:20:00,application/json,200,0
POST,/api/internal/search/logs,"query=""login failure"" & timeframe=""last_hour""",Go-http-client/1.1,[invalid URL removed],192.168.1.238,2024-04-23 22:25:00,application/json,200,0
DELETE,/api/v2/content/pages/5,-,curl/7.81.0,[invalid URL,,,,,
POST,/api/v3/social/login,"provider=""twitter"" & access_token=""valid_token""",Chrome/103.0.0.0,http://example.com/,192.168.1.239,2024-04-23 22:30:00,application/json,200,0
GET,[invalid URL removed],-,Slurp/ (+[invalid URL removed]),-,192.168.1.240,2024-04-23 22:35:00,text/html,404,1 (potential request for a non-existent resource)
PUT,/users/me/avatar,avatar=@[image data removed],Firefox/108.0,[invalid URL removed],192.168.1.241,2024-04-23 22:40:00,multipart/form-data,200,0
DELETE,/api/v1/activity-log,"user_id=123 & before=""2024-04-20""",Python-requests/2.28.1,[invalid URL removed],192.168.1.242,2024-04-23 22:45:00,application/json,204,0
POST,/api/internal/service/restart,"service_name=""database""",Go-http-client/1.1,[invalid URL removed],192.168.1.243,2024-04-23 22:50:00,application/json,202,0
GET,/it/,-,Yandex/22.5.0.2193,-,192.168.1.244,2024-04-23 22:55:00,text/html,302,0
POST,/api/v4/projects,"name=""New Project"" & description=""This is a new project.""",Java/17.0.2,http://example.com/,192.168.1.245,2024-04-23 23:00:00,application/json,201,0
PUT,/security/mfa/disable,-,Postman/8.9.20,[invalid URL removed],192.168.1.246,2024-04-23 23:05:00,application/json,200,0
POST,/api/internal/security/updates,"data= {""update_type"":""malware_signature"", ""version"":""1.2.3""}",Go-http-client/1.1,[invalid URL removed],192.168.1.247,2024-04-23 23:10:00,application/json,200,0
DELETE,/tmp/,-,curl/7.81.0,[invalid URL removed],192.168.1.248,2024-04-23 23:15:,,,
GET,/login.php?username=admin'&password='',-,Burp Suite/1.7.3,-,192.168.1.249,2024-04-24 00:00:00,text/html,200,1(potential brute-force login attempt - empty password for admin)
POST,/api/v2/users/,"username=""created_user"" & password=""weak_password""",Python-requests/2.28.1,[invalid URL removed],192.168.1.250,2024-04-24 00:05:00,application/json,201,1(potential weak password creation)
POST,/upload.php,file=@/@evil_script.sh,curl/7.81.0,http://example.com/,192.168.1.251 (Suspicious IP),2024-04-24 00:10:00,multipart/form-data,200,1(potential file upload attack - suspicious IP)
